timeline;latitude;longitude;nir;evi;ndvi
2019-02-18;-11.002488;-55.897255;4451.0;4288.0;5222.0
2019-03-06;-11.002488;-55.897255;2695.0;4946.0;8760.0
2019-03-22;-11.002488;-55.897255;2569.0;4528.0;8369.0
2019-04-07;-11.002488;-55.897255;4023.0;6691.0;8954.0
2019-04-23;-11.002488;-55.897255;3456.0;6120.0;9025.0
2019-05-09;-11.002488;-55.897255;2898.0;5284.0;8978.0
2019-05-25;-11.002488;-55.897255;2960.0;5331.0;8937.0
2019-06-10;-11.002488;-55.897255;3115.0;5429.0;8658.0
2019-06-26;-11.002488;-55.897255;3004.0;5351.0;8757.0
2019-07-12;-11.002488;-55.897255;3098.0;5504.0;8724.0
2019-07-28;-11.002488;-55.897255;3096.0;5214.0;8330.0
2019-08-13;-11.002488;-55.897255;3088.0;5095.0;8170.0
2019-08-29;-11.002488;-55.897255;3358.0;5508.0;8329.0
2019-09-14;-11.002488;-55.897255;2855.0;4795.0;8098.0
2019-09-30;-11.002488;-55.897255;2624.0;4751.0;8590.0
