coverage;latitude;longitude;timeline;ndvi;evi;nir;red
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-02-18T00:00:00;7481.0;4894.0;3304.0;476.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-03-06T00:00:00;7944.0;5368.0;3510.0;402.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-03-22T00:00:00;7537.0;3842.0;2350.0;330.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-04-07T00:00:00;8187.0;5798.0;3732.0;372.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-04-23T00:00:00;8423.0;5414.0;3226.0;276.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-05-09T00:00:00;8334.0;5429.0;3127.0;284.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-05-25T00:00:00;7779.0;4819.0;3027.0;378.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-06-10T00:00:00;7184.0;4413.0;2875.0;471.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-06-26T00:00:00;7134.0;4541.0;2793.0;467.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-07-12T00:00:00;6829.0;4383.0;2978.0;561.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-07-28T00:00:00;6141.0;3875.0;3045.0;728.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-08-13T00:00:00;5618.0;3715.0;3133.0;879.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-08-29T00:00:00;6022.0;4232.0;3335.0;828.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-09-14T00:00:00;5673.0;3592.0;2927.0;808.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-09-30T00:00:00;5806.0;2983.0;2307.0;612.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-10-16T00:00:00;7780.0;5365.0;3412.0;426.0
MOD13Q1-1;-10.210018188730544;-56.083063959709825;2019-11-01T00:00:00;8743.0;6879.0;4385.0;294.0
