coverage;latitude;longitude;timeline;nir;evi;ndvi
MOD13Q1;-9.983065;-55.371553;2019-02-18;3636.0;5586.0;6962.0
MOD13Q1;-9.983065;-55.371553;2019-03-06;3525.0;6094.0;8789.0
MOD13Q1;-9.983065;-55.371553;2019-03-22;3411.0;4474.0;6566.0
MOD13Q1;-9.983065;-55.371553;2019-04-07;4157.0;6452.0;8524.0
MOD13Q1;-9.983065;-55.371553;2019-04-23;3395.0;5775.0;8638.0
MOD13Q1;-9.983065;-55.371553;2019-05-09;3208.0;5182.0;8237.0
MOD13Q1;-9.983065;-55.371553;2019-05-25;3007.0;5040.0;8054.0
MOD13Q1;-9.983065;-55.371553;2019-06-10;3207.0;4777.0;7349.0
MOD13Q1;-9.983065;-55.371553;2019-06-26;2754.0;3633.0;6257.0
MOD13Q1;-9.983065;-55.371553;2019-07-12;3169.0;4230.0;6561.0
MOD13Q1;-9.983065;-55.371553;2019-07-28;3270.0;3210.0;5152.0
MOD13Q1;-9.983065;-55.371553;2019-08-13;3123.0;2709.0;4448.0
MOD13Q1;-9.983065;-55.371553;2019-08-29;2288.0;2717.0;5212.0
MOD13Q1;-9.983065;-55.371553;2019-09-14;3441.0;3886.0;5542.0
MOD13Q1;-9.983065;-55.371553;2019-09-30;2918.0;4100.0;6808.0
